"c.0L..1L..2L..3L..4L..5L..6L..7L..8L..9L..10L..11L..12L..13L.." "c.51.0456..52.0305..54.075..56.0468..58.1134..57.0829..61.0952.."
"1" 0 51.0456
"2" 1 52.0305
"3" 2 54.075
"4" 3 56.0468
"5" 4 58.1134
"6" 5 57.0829
"7" 6 61.0952
"8" 7 62.1041
"9" 8 63.072
"10" 9 65.1175
"11" 10 67.0617
"12" 11 69.0279
"13" 12 71.0819
"14" 13 74.1156
"15" 14 75.0826
"16" 15 77.0641
"17" 16 79.1231
"18" 17 81.215
"19" 18 84.1212
"20" 19 88.1208
"21" 20 91.2558
"22" 21 95.0875
"23" 22 97.1331
"24" 0 51.0898
"25" 1 53.0206
"26" 2 54.0556
"27" 3 56.0358
"28" 4 58.094
"29" 5 60.0419
"30" 6 62.0775
"31" 7 63.1082
"32" 8 65.1096
"33" 9 67.1146
"34" 10 70.0311
"35" 11 71.2033
"36" 12 73.0572
"37" 13 74.2211
"38" 14 78.0786
"39" 15 81.2129
"40" 16 82.0505
"41" 17 85.1846
"42" 18 88.1506
"43" 19 91.0835
"44" 20 95.1457
"45" 0 49.1075
"46" 1 52.0831
"47" 2 53.0939
"48" 3 54.0484
"49" 4 56.0767
"50" 5 58.0795
"51" 6 60.1587
"52" 7 61.0361
"53" 8 63.1678
"54" 9 65.3704
"55" 10 68.1161
"56" 11 70.135
"57" 12 72.1912
"58" 13 76.1879
"59" 14 79.272
"60" 15 81.2107
"61" 0 42.0642
"62" 1 43.0271
"63" 2 46.0235
"64" 3 46.1303
"65" 4 49.0575
"66" 5 50.0459
"67" 6 50.0585
"68" 7 53.1336
"69" 8 54.0357
"70" 9 56.0697
"71" 10 58.108
"72" 11 59.0695
"73" 12 61.0496
"74" 13 63.0441
"75" 14 65.0482
"76" 15 66.0457
"77" 16 67.0471
"78" 17 69.084
"79" 18 72.1061
"80" 19 74.2222
"81" 20 77.223
"82" 21 79.0705
"83" 22 81.217
"84" 23 83.1199
"85" 0 45.0937
"86" 1 46.0783
"87" 2 49.0933
"88" 3 50.0858
"89" 4 51.1156
"90" 5 51.1156
"91" 6 52.1399
"92" 7 55.1153
"93" 8 55.1607
"94" 9 59.1244
"95" 10 61.135
"96" 11 63.1435
"97" 12 65.3258
"98" 13 65.2113
"99" 14 69.1145
"100" 15 72.1157
"101" 16 75.2061
"102" 17 77.1072
"103" 18 79.1675
"104" 19 81.1411
"105" 20 84.1251
"106" 21 87.163
"107" 22 90.1404
"108" 23 91.2468
"109" 24 95.1267
"110" 25 99.1205
"111" 26 101.105
"112" 27 107.209
"113" 0 56.1569
"114" 1 57.0852
"115" 2 60.1822
"116" 3 63.1847
"117" 4 65.1377
"118" 5 70.1226
"119" 6 72.259
"120" 7 74.2049
"121" 8 76.2209
"122" 9 79.1665
"123" 10 84.2494
"124" 11 86.2318
"125" 12 87.4046
"126" 13 91.3843
"127" 14 95.4379
"128" 15 99.4097
"129" 0 52.067
"130" 1 55.0552
"131" 2 56.1236
"132" 3 58.1403
"133" 4 60.0648
"134" 5 63.1306
"135" 6 62.0869
"136" 7 66.1156
"137" 8 68.1128
"138" 9 68.1426
"139" 10 72.0681
"140" 11 73.105
"141" 12 75.137
"142" 13 79.3719
"143" 14 80.1881
"144" 15 84.1974
"145" 16 86.2113
"146" 17 89.2099
"147" 18 93.3309
"148" 19 96.2438
"149" 20 99.1454
"150" 21 104.303
"151" 0 56.0688
"152" 1 57.1545
"153" 2 58.1397
"154" 3 61.2727
"155" 4 63.2324
"156" 5 64.15
"157" 6 66.1998
"158" 7 69.1674
"159" 8 70.1428
"160" 9 73.2378
"161" 10 75.3251
"162" 11 76.3289
"163" 12 81.2238
"164" 13 83.2164
"165" 14 87.2818
"166" 15 90.3015
"167" 16 93.1497
"168" 0 48.1407
"169" 1 50.0915
"170" 2 52.0978
"171" 3 53.0844
"172" 4 55.068
"173" 5 56.0925
"174" 6 56.1181
"175" 7 59.0936
"176" 8 60.1008
"177" 9 61.2444
"178" 10 66.0803
"179" 11 67.1335
"180" 12 69.0514
"181" 13 73.0951
"182" 14 73.1145
"183" 15 78.1773
"184" 16 79.0872
"185" 0 41.0089
"186" 1 43.0362
"187" 2 44.0369
"188" 3 45.0499
"189" 4 45.0106
"190" 5 48.0495
"191" 6 48.1022
"192" 7 51.018
"193" 8 52.0653
"194" 9 54.0262
"195" 10 56.0448
"196" 11 57.0657
"197" 12 59.103
"198" 13 60.0276
"199" 14 65.056
"200" 15 67.0821
"201" 16 69.029
"202" 17 73.0534
"203" 0 38.0431
"204" 1 40.0102
"205" 2 42.0222
"206" 3 43.1103
"207" 4 44.0418
"208" 5 45.0841
"209" 6 48.0451
"210" 7 50.2157
"211" 8 53.0969
"212" 9 53.1439
"213" 10 55.0399
"214" 11 56.1003
"215" 12 57.0824
"216" 13 60.0902
"217" 14 62.2328
"218" 15 63.1381
"219" 16 67.1584
"220" 17 67.2135
"221" 18 72.1495
"222" 19 71.0496
"223" 20 74.1291
"224" 21 76.1894
"225" 22 80.1088
"226" 23 81.2129
"227" 24 84.199
"228" 25 87.163
"229" 26 90.1927
"230" 27 95.1768
"231" 28 98.3169
"232" 29 101.226
"233" 30 105.341
"234" 31 108.295
"235" 0 58.2194
"236" 1 61.186
"237" 2 63.1393
"238" 3 65.101
"239" 4 66.1663
"240" 5 68.0688
"241" 6 69.1069
"242" 7 72.0648
"243" 8 75.0944
"244" 9 76.1436
"245" 10 78.1124
"246" 11 82.1469
"247" 12 83.0917
"248" 13 87.1214
"249" 14 90.105
"250" 15 95.1472
"251" 16 97.1379
"252" 17 101.105
"253" 0 56.0654
"254" 1 57.0509
"255" 2 57.0345
"256" 3 61.0501
"257" 4 62.1021
"258" 5 66.0705
"259" 6 66.0796
"260" 7 69.1227
"261" 8 72.1849
"262" 9 75.1392
"263" 10 77.2034
"264" 11 82.3449
"265" 12 84.2486
"266" 13 87.2902
"267" 14 89.3874
"268" 15 91.2696
"269" 16 97.3137
"270" 17 101.242
"271" 0 53.1962
"272" 1 55.1251
"273" 2 57.08
"274" 3 60.0827
"275" 4 60.1397
"276" 5 59.1675
"277" 6 64.0724
"278" 7 65.1967
"279" 8 66.1643
"280" 9 70.1062
"281" 10 72.1424
"282" 11 74.1383
"283" 12 77.2306
"284" 13 78.2812
"285" 14 82.135
"286" 15 86.2424
"287" 16 87.294
"288" 17 90.3463
"289" 18 92.1699
"290" 0 48.0828
"291" 1 50.1351
"292" 2 52.1886
"293" 3 53.1463
"294" 4 54.0324
"295" 5 56.0638
"296" 6 56.0638
"297" 7 59.2051
"298" 8 62.1359
"299" 9 63.1722
"300" 10 66.0981
"301" 11 66.0907
"302" 12 67.1263
"303" 13 71.3549
"304" 14 73.14
"305" 15 74.2095
"306" 16 77.2228
"307" 17 80.2161
"308" 18 81.2698
"309" 19 84.2108
"310" 20 88.2465
"311" 21 90.2765
"312" 22 95.2599
"313" 23 97.3923
"314" 24 100.218
"315" 0 54.1207
"316" 1 54.1398
"317" 2 57.1162
"318" 3 57.0848
"319" 4 61.0761
"320" 5 62.2874
"321" 6 65.0863
"322" 7 66.1463
"323" 8 68.1531
"324" 9 69.2967
"325" 10 72.2491
"326" 11 76.2584
"327" 12 78.4144
"328" 13 81.1828
"329" 14 84.1899
"330" 15 86.1979
"331" 0 43.1755
"332" 1 45.0628
"333" 2 46.0159
"334" 3 49.0394
"335" 4 49.0292
"336" 5 51.0828
"337" 6 53.024
"338" 7 54.0802
"339" 8 56.0806
"340" 9 58.0643
"341" 10 60.1251
"342" 11 62.1292
"343" 12 62.1267
"344" 13 65.1193
"345" 14 66.1359
"346" 15 68.2348
"347" 16 71.1325
"348" 17 74.2096
"349" 18 75.0684
"350" 19 78.1067
"351" 20 80.1547
"352" 21 84.1279
"353" 22 86.067
"354" 0 46.0222
"355" 1 47.0539
"356" 2 48.1212
"357" 3 50.0797
"358" 4 52.0872
"359" 5 55.1694
"360" 6 54.055
"361" 7 57.0485
"362" 8 56.1249
"363" 9 59.0633
"364" 10 60.0672
"365" 11 63.1269
"366" 12 65.0928
"367" 13 68.0704
"368" 14 69.0467
"369" 15 72.1541
"370" 16 74.1275
"371" 17 75.1575
"372" 18 79.0737
"373" 19 83.1367
"374" 20 86.0809
"375" 0 44.0119
"376" 1 46.0455
"377" 2 47.0162
"378" 3 48.0512
"379" 4 50.0525
"380" 5 51.0782
"381" 6 51.0435
"382" 7 53.0332
"383" 8 54.0299
"384" 9 56.1101
"385" 10 57.0969
"386" 11 59.0582
"387" 12 61.0812
"388" 13 61.1088
"389" 14 61.1176
"390" 15 66.1434
"391" 16 67.1625
"392" 17 71.1651
"393" 18 75.0814
"394" 19 76.1157
"395" 20 77.1622
"396" 21 81.1114
"397" 0 42.0303
"398" 1 43.0294
"399" 2 45.0249
"400" 3 45.0978
"401" 4 47.0103
"402" 5 49.0408
"403" 6 51.0769
"404" 7 52.0455
"405" 8 53.0348
"406" 9 55.0609
"407" 10 56.0518
"408" 11 56.0518
"409" 12 60.0884
"410" 13 63.0588
"411" 14 62.0469
"412" 15 65.0441
"413" 16 69.103
"414" 17 71.1178
"415" 18 72.1533
"416" 0 40.0457
"417" 1 41.0113
"418" 2 42.0178
"419" 3 43.0196
"420" 4 45.0867
"421" 5 45.0767
"422" 6 47.0461
"423" 7 48.0516
"424" 8 50.0617
"425" 9 51.1019
"426" 10 53.1007
"427" 11 53.0479
"428" 12 56.0243
"429" 13 58.0675
"430" 14 58.0751
"431" 15 61.0565
"432" 16 65.0646
"433" 17 67.0978
"434" 18 69.132
"435" 19 71.1011
"436" 20 73.1957
"437" 21 78.1323
"438" 0 39.0625
"439" 1 42.0639
"440" 2 43.0415
"441" 3 43.1049
"442" 4 47.1396
"443" 5 48.0559
"444" 6 48.1006
"445" 7 50.1181
"446" 8 50.2167
"447" 9 53.2039
"448" 10 54.1412
"449" 11 56.0801
"450" 12 58.1105
"451" 13 59.1131
"452" 14 61.0888
"453" 15 62.0798
"454" 16 64.0894
"455" 17 67.0194
"456" 18 69.0514
"457" 19 71.0406
"458" 20 73.0438
"459" 21 77.0777
"460" 22 77.1389
"461" 23 83.1188
"462" 24 86.125
"463" 25 89.0803
"464" 0 48.0854
"465" 1 48.0265
"466" 2 50.0829
"467" 3 53.1163
"468" 4 55.0315
